pvalue	chromosome	start	end	Number of nearby TSS	closest tx id	closest tx name	closest tx biotype	distance to tss
3.7246761187853606e-35	2	23324373	23325538	19	ensorlt00000007888	gart-201	protein_coding	-1866
1.6352722479925962e-34	5	30060867	30062266	12	ensorlt00000034046		protein_coding	-778
5.251965495414076e-34	6	1003683	1004493	4	ensorlt00000023961	ptprz1a-201	protein_coding	53144
1.8630586029182203e-33	3	7956996	7957867	0				
5.9371766380410834e-33	14	29286331	29287419	9	ensorlt00000019460	galnt10-201	protein_coding	-6650
1.2885715944570035e-32	7	26640756	26641574	2	ensorlt00000028663		protein_coding	74898
1.5493035707288685e-32	6	4948049	4949056	12	ensorlt00000043528		protein_coding	0
2.0900960530615359e-32	9	1940281	1941248	19	ensorlt00000000515		protein_coding	0
6.273924252385645e-32	14	19955750	19956691	7	ensorlt00000031151	rps6ka4-202	protein_coding	14624
8.909608536050553e-32	6	2209392	2211073	6	ensorlt00000028066		protein_coding	916
1.3700598998227565e-31	1	1608911	1609767	12	ensorlt00000000072		protein_coding	-4370
2.0411763590751397e-31	11	14611139	14611909	17	ensorlt00000007402	si:ch73-160i9.1-201	protein_coding	912
3.35137568258231e-31	18	19963184	19964018	10	ensorlt00000033449	si:ch211-200p22.4-203	protein_coding	35228
2.559044208968461e-30	24	10286328	10287069	16	ensorlt00000030196	mfsd4b-201	protein_coding	0
5.839936479102335e-30	1	28861433	28862812	21	ensorlt00000015172	gnav1-201	protein_coding	3270
2.0638330405276588e-29	1	28858118	28859215	20	ensorlt00000015172	gnav1-201	protein_coding	6867
3.618471190027074e-28	3	16474087	16474976	21	ensorlt00000005943	grk1-201	protein_coding	-3223
5.413528612706652e-28	23	3850204	3850968	11	ensorlt00000011959	arntl2-201	protein_coding	8784
7.71121161918314e-28	15	29821056	29822141	28	ensorlt00000037347	mypn-202	protein_coding	-11292
1.3832355143480204e-27	13	383208	383975	9	ensorlt00000032832	sst1.1-201	protein_coding	485
1.4855273775793643e-27	8	21261846	21262796	18	ensorlt00000024432		protein_coding	-5983
1.5171932677223604e-27	10	1395471	1396245	15	ensorlt00000030488		protein_coding	-24754
1.8589756456884786e-27	23	22979232	22979976	18	ensorlt00000021719	kcnmb4-201	protein_coding	2437
2.4682549668568606e-27	16	27924435	27925464	25	ensorlt00000037928	rnf183-201	protein_coding	-741
2.4682549668568606e-27	21	28550521	28551558	13	ensorlt00000040597	pgap1-202	protein_coding	408
4.1842265886981914e-27	12	2224110	2224947	9	ensorlt00000001474	sez6l-201	protein_coding	14584
4.56212170868142e-27	12	16363111	16364076	12	ensorlt00000032401		protein_coding	0
6.938288116533777e-27	19	1970304	1971316	16	ensorlt00000003025	xrcc6-202	protein_coding	4755
6.938288116533777e-27	13	20552384	20553114	14	ensorlt00000012890		protein_coding	25185
8.562616539703854e-27	23	11357678	11358382	10	ensorlt00000036581		protein_coding	-5244
9.221060864080255e-27	16	29379772	29380590	10	ensorlt00000029431		protein_coding	-9138
9.690231436640675e-27	1	24677502	24678338	14	ensorlt00000013381		protein_coding	0
1.5681502469540518e-26	1	32088263	32088895	0				
1.6995562993049e-26	1	623809	625652	35	ensorlt00000038846		protein_coding	4162
4.081345637279543e-26	12	2351	3432	12	ensorlt00000038400		protein_coding	-1598
4.9733978318368633e-26	8	24228402	24229097	13	ensorlt00000021320		protein_coding	-5908
6.954962428101027e-26	5	18110054	18110576	37	ensorlt00000011708	zgc:109913-201	protein_coding	107
1.077826356364838e-25	5	30639310	30640214	10	ensorlt00000020901	minar1-201	protein_coding	1151
1.75746039581168e-25	13	5075595	5076908	24	ensorlt00000046329		protein_coding	-1485
2.109978160351589e-25	20	928166	929086	6	ensorlt00000024007	snx7-201	protein_coding	-9010
2.109978160351589e-25	2	25168675	25169329	17	ensorlt00000043834	rgn-202	protein_coding	0
2.271897796512844e-25	2	24777019	24778170	18	ensorlt00000025343	gpr180-203	protein_coding	4417
2.6827721715556406e-25	14	5903721	5904512	6	ensorlt00000031223		protein_coding	32330
4.154246458673935e-25	22	1397307	1398265	28	ensorlt00000011491	cdkn3-201	protein_coding	589
1.0284839498186899e-24	1	35021478	35021995	4	ensorlt00000029537	lrpap1-201	protein_coding	-23956
1.1255162955830818e-24	2	5876097	5876690	5	ensorlt00000035198		protein_coding	-4078
1.1255162955830818e-24	23	4299437	4299974	13	ensorlt00000035472		protein_coding	-2366
1.1255162955830818e-24	12	22359132	22359991	1	ensorlt00000015177	si:dkey-28o19.1-201	protein_coding	-95204
1.2416468116538448e-24	17	7698575	7699743	1	ensorlt00000035149		protein_coding	96463
1.5484272206277259e-24	23	3916940	3917989	10	ensorlt00000012011	med21-201	protein_coding	-4364
2.030479854949993e-24	9	1409550	1410160	17	ensorlt00000000269		protein_coding	8252
2.7358157233682653e-24	6	20546467	20547385	16	ensorlt00000012547	arsa-201	protein_coding	4183
6.6134032307938485e-24	24	5030022	5030720	13	ensorlt00000014194	si:ch211-59d15.9-201	protein_coding	10432
7.442562481582459e-24	20	3838700	3839627	4	ensorlt00000041921	si:ch211-152c8.4-201	protein_coding	3017
8.547298745014869e-24	24	5935650	5936472	24	ensorlt00000015032	aida-202	protein_coding	531
9.242459947936596e-24	1	514965	516003	33	ensorlt00000025024	psen2-201	protein_coding	0
1.2093354822466802e-23	17	31123134	31123914	4	ensorlt00000042031		protein_coding	16342
2.2042716366809218e-23	23	16569819	16570625	0				
2.2042716366809218e-23	22	981897	982941	22	ensorlt00000039506		protein_coding	9009
2.686620592414989e-23	12	15162968	15163491	16	ensorlt00000012487	lhx6-201	protein_coding	9889
3.277582177306091e-23	15	7342679	7343560	16	ensorlt00000001968	rel-201	protein_coding	-5987
5.1451543032024295e-23	20	19218717	19219362	8	ensorlt00000041961	otud1-201	protein_coding	710
6.063791871342659e-23	8	23927778	23928959	10	ensorlt00000021273		protein_coding	-5330
6.659195588903762e-23	4	24054496	24055406	25	ensorlt00000017263	rpl5-201	protein_coding	4427
6.737551192611414e-23	4	3961215	3962076	18	ensorlt00000002422	aasdh-201	protein_coding	5858
7.544065301714539e-23	4	4090296	4091243	19	ensorlt00000002534		protein_coding	-8750
8.89944569013387e-23	1	4117891	4118603	13	ensorlt00000001892	fam161a-201	protein_coding	-3594
1.1855113287368551e-22	22	2110896	2112054	29	ensorlt00000035727	paplna-201	protein_coding	11519
1.9273179768648566e-22	23	20027210	20027917	12	ensorlt00000020590	igf1-203	protein_coding	-5207
2.1317359410652754e-22	12	28841596	28842332	9	ensorlt00000018898	nars1-201	protein_coding	5993
2.1902854813076543e-22	10	30885273	30886108	10	ensorlt00000028706		protein_coding	-421
2.51544070440932e-22	19	12504461	12505627	16	ensorlt00000041307	cox7a2l-201	protein_coding	-1517
2.70580590745159e-22	22	695759	696885	20	ensorlt00000033781		protein_coding	0
3.291711124916452e-22	5	32495777	32497243	14	ensorlt00000022882		protein_coding	-3154
5.511506707300246e-22	10	14786507	14787346	17	ensorlt00000042182		protein_coding	1718
5.515459815976429e-22	1	9798564	9799797	17	ensorlt00000044917	atad5b-202	protein_coding	2782
5.549220607695922e-22	13	843260	844152	16	ensorlt00000000444	gpr171-202	protein_coding	-11642
6.867185918501067e-22	23	5425417	5426464	6	ensorlt00000034117		protein_coding	130
8.740490303166006e-22	8	10529387	10530017	17	ensorlt00000009920	pcyt2-201	protein_coding	3332
1.2704107504041165e-21	22	16765425	16765923	22	ensorlt00000021823	zbtb8a-201	protein_coding	2381
1.3602412987312805e-21	10	22614555	22615376	5	ensorlt00000042024	sh2d1ab-201	protein_coding	5079
1.4013125317960842e-21	22	13006454	13007206	23	ensorlt00000020319	cipca-201	protein_coding	-4488
1.5509047316067809e-21	19	6478747	6479442	4	ensorlt00000006611	pcdh15b-202	protein_coding	15093
1.555438453092447e-21	5	8160898	8161619	24	ensorlt00000004839	glyctk-201	protein_coding	-1467
1.6764170758385283e-21	4	2996647	2997379	14	ensorlt00000001584	ttc39c-202	protein_coding	5249
1.8423572904464275e-21	4	29151022	29151782	16	ensorlt00000044762	abhd17ab-201	protein_coding	2477
1.960803470937834e-21	20	16631626	16632154	11	ensorlt00000010173	prdm14-201	protein_coding	-13288
2.5815121015357077e-21	8	22804255	22805427	13	ensorlt00000038157	nfixb-201	protein_coding	-412
2.7352646890123363e-21	21	30504736	30506294	14	ensorlt00000025445	cdk5r2b-201	protein_coding	7823
3.0672600630128824e-21	20	22410541	22411239	15	ensorlt00000015867		protein_coding	2409
3.198290279925885e-21	11	17506886	17507784	15	ensorlt00000043644	trhr1b-201	protein_coding	-3896
3.704038733688526e-21	21	6545244	6546227	7	ensorlt00000013061		protein_coding	29862
4.665475226204813e-21	2	17527010	17527903	8	ensorlt00000005301		protein_coding	6897
5.4564460139495075e-21	9	1589475	1591451	14	ensorlt00000034707	camk2b1-202	protein_coding	4047
6.669555243082818e-21	1	4118637	4119269	13	ensorlt00000001892	fam161a-201	protein_coding	-4340
7.344758465633845e-21	14	14377191	14378259	9	ensorlt00000032831	dlg4a-204	protein_coding	4297
7.720671791340954e-21	11	15137293	15138266	0				
7.756198559196941e-21	7	32119701	32120957	7	ensorlt00000038419	ptpn18-201	protein_coding	5390
1.0033996373992539e-20	21	16398621	16399269	15	ensorlt00000018618	znf142-202	protein_coding	-7362
1.3330912075382279e-20	11	1245861	1247800	14	ensorlt00000045893		protein_coding	4617
1.8008160907445447e-20	14	27182464	27183558	9	ensorlt00000029236		protein_coding	1093
2.1206420287823183e-20	9	1408998	1409453	17	ensorlt00000000269		protein_coding	8959
2.1800924228808588e-20	16	6229218	6230088	5	ensorlt00000038734		protein_coding	-58169
2.375678209373705e-20	17	15890445	15891066	17	ensorlt00000039955		protein_coding	558
2.5044913607115527e-20	14	27054189	27055208	11	ensorlt00000018775	ompb-201	protein_coding	0
2.7599809122486446e-20	19	23767931	23768794	5	ensorlt00000041349		protein_coding	-19023
2.837846577570268e-20	14	18141689	18142132	1	ensorlt00000034056		protein_coding	-89405
2.9626591784293446e-20	16	3285887	3287269	8	ensorlt00000043893		protein_coding	-29666
3.4020820383573933e-20	10	14801064	14801939	19	ensorlt00000037422		protein_coding	-1630
3.5729534412169206e-20	11	24926874	24927679	3	ensorlt00000039168	st3gal1-201	protein_coding	22926
3.6324831999086675e-20	23	22119770	22120452	11	ensorlt00000021423	gata3-202	protein_coding	-4079
3.728498644540382e-20	23	24242259	24243109	8	ensorlt00000024725		protein_coding	0
3.768679241431497e-20	18	26148011	26148549	11	ensorlt00000041996		protein_coding	0
4.4570824182260805e-20	3	7197460	7198055	0				
4.714012961308687e-20	3	1722806	1724495	15	ensorlt00000046231		protein_coding	0
6.29482465443462e-20	10	27306881	27307553	18	ensorlt00000013447	mmp17b-201	protein_coding	-6143
6.682085747552474e-20	21	22070147	22070650	23	ensorlt00000026984	pdk1-201	protein_coding	3295
9.109583170657818e-20	12	25549614	25550239	7	ensorlt00000017020		protein_coding	180
9.510544706812067e-20	3	310733	311234	18	ensorlt00000032145		protein_coding	2362
1.06502575074199e-19	20	25878887	25879373	8	ensorlt00000017658	map3k15-201	protein_coding	-10450
1.20772311641348e-19	19	25054523	25055315	0				
1.550479150229947e-19	14	3337596	3338053	20	ensorlt00000000930	hspb11-201	protein_coding	242
1.6144558550540627e-19	18	6918400	6919886	6	ensorlt00000041771		protein_coding	-986
2.0880184162307167e-19	12	21967072	21967688	0				
2.5178314748914837e-19	3	127750	128241	6	ensorlt00000041940		protein_coding	-12777
2.8055975052830336e-19	9	2218961	2219864	9	ensorlt00000031437	camsap1b-201	protein_coding	-39759
3.2984980904358314e-19	11	615230	616062	9	ensorlt00000038868		protein_coding	-17281
3.3071006682952783e-19	11	5652296	5652907	25	ensorlt00000026443		snorna	2717
3.4150577463721717e-19	6	6578463	6579102	9	ensorlt00000044060		protein_coding	7774
3.8459985717883826e-19	13	16608685	16609984	20	ensorlt00000029145		protein_coding	10801
6.001071700196468e-19	19	15547380	15547780	13	ensorlt00000014130	col1a1b-201	protein_coding	-3143
6.991160001051104e-19	24	15119772	15120578	26	ensorlt00000021183		protein_coding	3578
9.106805343757878e-19	23	20253930	20254850	11	ensorlt00000020694	itfg2-203	protein_coding	-10250
1.1686810061164471e-18	12	26614553	26615453	12	ensorlt00000028531		protein_coding	-208
1.2583675818140751e-18	18	13357355	13357783	19	ensorlt00000007486		protein_coding	3955
1.5187292216830761e-18	3	20221759	20222408	15	ensorlt00000041341	rassf10-201	protein_coding	146
1.521300348332323e-18	16	6706711	6707703	13	ensorlt00000003981	sqlea-201	protein_coding	-15158
1.521300348332323e-18	12	20708042	20708556	7	ensorlt00000043012	musk-204	protein_coding	-44239
1.5608586333017055e-18	23	20369345	20370786	20	ensorlt00000020777	tspan9b-201	protein_coding	-5980
1.7555992155822873e-18	11	11458630	11459512	18	ensorlt00000036767		protein_coding	-1741
2.239072885532476e-18	18	26965446	26965994	15	ensorlt00000013456	zgc:158564-201	protein_coding	-11716
2.3939617625248e-18	11	19729004	19729959	18	ensorlt00000011779	eya3-201	protein_coding	-7445
2.6206446741616457e-18	16	8743401	8744024	3	ensorlt00000042147	fzd1-201	protein_coding	5930
2.7035382046103834e-18	19	4896361	4898044	21	ensorlt00000017282	nt5c3b-201	protein_coding	1314
2.741190195890389e-18	23	24125549	24126109	14	ensorlt00000038775		protein_coding	4320
3.0078430597842036e-18	16	30567648	30568275	5	ensorlt00000020717	mios-201	protein_coding	13842
3.5624590813364066e-18	24	10287660	10288456	16	ensorlt00000030196	mfsd4b-201	protein_coding	-918
4.273730275978964e-18	4	6524902	6525641	16	ensorlt00000004668	wwc3-201	protein_coding	-6144
5.720788673223152e-18	12	585385	586533	15	ensorlt00000045797	abraxas1-201	protein_coding	35139
6.1785778500261284e-18	8	3718774	3719076	16	ensorlt00000035705	shank1-201	protein_coding	17325
6.227725139402012e-18	10	5874411	5875103	5	ensorlt00000036228		protein_coding	8289
6.227725139402012e-18	12	27801264	27802238	14	ensorlt00000018502	gadd45gb.1-201	protein_coding	2560
6.928892392538475e-18	12	1508569	1510399	24	ensorlt00000000650	tor4aa-201	protein_coding	-1525
7.602918401746648e-18	17	12628071	12629156	11	ensorlt00000042322	rasal2-201	protein_coding	-16291
8.770607747268653e-18	23	22981297	22981876	18	ensorlt00000021719	kcnmb4-201	protein_coding	537
9.28694025861418e-18	12	29701983	29702399	4	ensorlt00000019198	dcc-202	protein_coding	7506
1.1039361590251539e-17	18	28932190	28932955	19	ensorlt00000015648	rbm4.1-201	protein_coding	-11088
1.4018592269612333e-17	20	3801974	3802772	4	ensorlt00000037801	si:ch211-152c8.5-201	protein_coding	-14137
1.5273997742264815e-17	12	7833845	7834230	29	ensorlt00000034253		protein_coding	18188
1.5347679453365508e-17	11	24852590	24853019	5	ensorlt00000025955	ola-mir-30d-201	mirna	-5373
1.7751590869741263e-17	4	7984704	7985398	12	ensorlt00000006359	amh-201	protein_coding	2566
1.7914299581790168e-17	13	11568006	11568822	8	ensorlt00000006503	cadm1b-202	protein_coding	0
1.993350461865428e-17	7	2939062	2940188	5	ensorlt00000042263	si:ch211-236h17.3-201	protein_coding	-10101
2.220232419007706e-17	6	27378937	27379351	25	ensorlt00000018754	b3gnt9-201	protein_coding	-4895
2.4211928906559277e-17	3	1396019	1396951	17	ensorlt00000041786		protein_coding	12691
2.4511391727251907e-17	12	5769620	5770439	23	ensorlt00000004232	tor1-203	protein_coding	-1087
2.5813819552702422e-17	19	17314751	17315570	7	ensorlt00000022995		protein_coding	-27659
2.9728320419438143e-17	16	31046110	31046880	5	ensorlt00000037173	etv1-201	protein_coding	-18240
3.0022055239461136e-17	12	14506415	14506927	24	ensorlt00000011723	mpx-204	protein_coding	-1317
3.008711844651481e-17	1	2071678	2072757	21	ensorlt00000032647	ccsapa-201	protein_coding	523
3.5913646301296276e-17	2	24401329	24402075	18	ensorlt00000023422		protein_coding	-86
3.7599517016617503e-17	12	27004015	27004580	26	ensorlt00000035850	galnt11-201	protein_coding	7260
3.868909606489352e-17	22	13103173	13103711	30	ensorlt00000020433	zgc:163014-201	protein_coding	0
4.1595642584244005e-17	2	15990817	15991357	7	ensorlt00000038436		protein_coding	-14405
4.3929787173770086e-17	9	1178641	1179558	10	ensorlt00000029933	dmrt3a-201	protein_coding	-2558
4.6448377901936696e-17	9	22120347	22121367	2	ensorlt00000037495	galnt9-201	protein_coding	-19700
5.776654010947879e-17	13	11128724	11129602	13	ensorlt00000032009	socs9-202	protein_coding	-37958
6.409390967042186e-17	20	1380297	1380848	4	ensorlt00000022279		protein_coding	4019
6.683344537221438e-17	16	32827497	32828400	13	ensorlt00000028003		protein_coding	-3001
8.981987825235919e-17	24	13782409	13783142	21	ensorlt00000020422	znf513a-201	protein_coding	5325
1.0535951031113851e-16	1	35688977	35689469	20	ensorlt00000044924	ndufb7-201	protein_coding	2363
1.1063483058735615e-16	13	3186102	3187164	15	ensorlt00000001341	lgals4-203	protein_coding	-3660
1.3739333945956728e-16	21	30511699	30512139	14	ensorlt00000025445	cdk5r2b-201	protein_coding	1978
1.3861872285254244e-16	18	29918080	29918514	14	ensorlt00000015406	slx1b-201	protein_coding	30702
1.423888911815434e-16	17	6119132	6119600	14	ensorlt00000006622	si:rp71-39b20.4-202	protein_coding	-4799
1.4252444041605975e-16	19	18836048	18836626	4	ensorlt00000015233	pdk2a-201	protein_coding	-17559
1.5611986873109087e-16	16	1083033	1084137	24	ensorlt00000045341	znf576.1-202	protein_coding	2520
1.6194139760948817e-16	7	12745711	12746107	14	ensorlt00000009958	hoxc8-201	protein_coding	-1442
1.9010336455495163e-16	24	13062806	13063634	16	ensorlt00000028117		protein_coding	-3542
1.9454366514066892e-16	8	821160	821688	52	ensorlt00000037560		protein_coding	-3390
1.9683891725141502e-16	19	15739866	15740589	11	ensorlt00000029278		protein_coding	-11983
2.855502576920001e-16	23	7692582	7692981	0				
3.0537727119874223e-16	3	5675283	5675936	17	ensorlt00000031686	rpl12-201	protein_coding	4570
3.0864030091640366e-16	23	9502612	9503172	8	ensorlt00000023045	slc26a5-201	protein_coding	13021
3.1907388455323796e-16	11	743057	743651	23	ensorlt00000000364	ndufv1-201	protein_coding	-3444
3.1907388455323796e-16	13	966887	967785	18	ensorlt00000028023	cox7a1-204	protein_coding	-528
3.8873628721342513e-16	5	326699	327295	12	ensorlt00000033424		protein_coding	20702
4.196583591524873e-16	12	25647768	25648719	10	ensorlt00000017046		protein_coding	10411
4.196583591524873e-16	13	966300	966880	15	ensorlt00000028023	cox7a1-204	protein_coding	0
4.196583591524873e-16	1	16885030	16885688	21	ensorlt00000008885	anp32b-201	protein_coding	18163
4.456023580154138e-16	21	22398142	22399003	12	ensorlt00000038383	atp5mc3b-201	protein_coding	-10559
5.390479869754123e-16	6	26415548	26416384	16	ensorlt00000017542	zfpm1-204	protein_coding	2790
5.390479869754123e-16	22	1070380	1071255	20	ensorlt00000024587	exd2-201	protein_coding	-2636
5.521017900011231e-16	18	19463064	19463790	10	ensorlt00000010277	pacs1-204	protein_coding	7229
7.285503019800492e-16	17	30526601	30527025	17	ensorlt00000022578	admp-204	protein_coding	-1020
7.426380713507383e-16	15	11437779	11438647	2	ensorlt00000038174		protein_coding	-74895
7.600148754138836e-16	11	2882502	2883191	5	ensorlt00000039738	zhx1-201	protein_coding	30388
7.980747370722634e-16	2	1710178	1710982	16	ensorlt00000033959	inpp4ab-201	protein_coding	16132
8.015751306944491e-16	24	6328489	6329255	23	ensorlt00000015316	nek2-201	protein_coding	3934
8.041707827252477e-16	16	27790858	27791399	28	ensorlt00000019954	fli1b-204	protein_coding	-2779
9.434697059763216e-16	23	23318374	23319063	20	ensorlt00000047032		protein_coding	3565
9.54876436187522e-16	21	22399058	22399465	12	ensorlt00000038383	atp5mc3b-201	protein_coding	-11475
1.1014002626434033e-15	11	231563	232404	17	ensorlt00000037664	scrt1a-201	protein_coding	6563
1.2155704300855432e-15	10	28108956	28109528	11	ensorlt00000013913	cpxm1b-201	protein_coding	-10260
1.2270199350949846e-15	8	682253	683322	17	ensorlt00000031549	spns1-201	protein_coding	-10271
1.2558793532943255e-15	23	4706574	4708213	15	ensorlt00000029856	si:dkeyp-81f3.4-201	protein_coding	971
1.342586156603953e-15	16	21563469	21563993	17	ensorlt00000033390		protein_coding	-14457
1.3987498953664313e-15	4	15186477	15187374	9	ensorlt00000041953		protein_coding	-4079
1.40620453133624e-15	11	14601332	14602017	18	ensorlt00000043573	si:ch73-160i9.1-202	protein_coding	3608
1.4257336252218789e-15	17	16521683	16522683	23	ensorlt00000013275	tmem69-201	protein_coding	-2903
1.4849008275328586e-15	19	8194041	8194414	34	ensorlt00000029878	zgc:56095-201	protein_coding	-8213
1.4893694835800725e-15	15	19015085	19015747	11	ensorlt00000007120	zranb1b-202	protein_coding	-15415
1.666557614542746e-15	5	32739850	32742065	25	ensorlt00000021813	pde12-201	protein_coding	0
1.7234438337247678e-15	9	4839534	4839978	15	ensorlt00000039474		protein_coding	2392
1.8533930001960932e-15	4	6440134	6441297	9	ensorlt00000046457		protein_coding	-9
1.919706132129352e-15	19	13669510	13669908	12	ensorlt00000032303		protein_coding	187
1.919706132129352e-15	11	20444535	20445292	6	ensorlt00000012562		protein_coding	37003
2.0490984971382394e-15	15	28982845	28984049	16	ensorlt00000045560	ptk7-201	protein_coding	3578
2.1440274250820888e-15	22	13961836	13962518	22	ensorlt00000021019	sipa1l1-201	protein_coding	8015
2.211264748273921e-15	15	29841716	29842086	30	ensorlt00000017221	pkd2l1-201	protein_coding	703
2.3173095272048547e-15	22	1314691	1315734	28	ensorlt00000011357	atl1-201	protein_coding	4697
2.3834803637791507e-15	24	13999201	13999843	26	ensorlt00000031356	xkr6b-201	protein_coding	-14497
2.406832746774931e-15	1	1875134	1875587	18	ensorlt00000044320		protein_coding	-7541
2.6666696430576983e-15	12	17093218	17094071	2	ensorlt00000047102		pseudogene	0
2.6702935389962987e-15	23	23958441	23959191	21	ensorlt00000038489		protein_coding	-1838
2.7891725966279922e-15	2	17655944	17658600	12	ensorlt00000031362		protein_coding	-8932
2.9367772125403404e-15	2	10264792	10265424	18	ensorlt00000001425	f7l-201	protein_coding	1487
3.2742304011737397e-15	11	1019052	1020249	4	ensorlt00000032046		protein_coding	-2608
3.5159095529682695e-15	17	327867	329129	6	ensorlt00000002667		protein_coding	-11632
3.604867322193468e-15	20	15021012	15021894	13	ensorlt00000009283	myrip-201	protein_coding	35082
3.712334522756182e-15	10	27464195	27464953	7	ensorlt00000041623	nkx1.2lb-201	protein_coding	-21023
3.783968525457289e-15	17	19609738	19610252	11	ensorlt00000039132	neto1-201	protein_coding	-347
4.2888787683587455e-15	18	28768520	28769106	13	ensorlt00000014335		protein_coding	4916
4.923319780573769e-15	12	1507647	1508378	24	ensorlt00000000650	tor4aa-201	protein_coding	-603
5.213456321917992e-15	3	27003119	27003522	10	ensorlt00000036629		protein_coding	4420
5.464386113503524e-15	11	7333897	7334542	11	ensorlt00000037743		protein_coding	-22673
5.502379056866291e-15	1	4595628	4596338	5	ensorlt00000002123		protein_coding	-58987
6.239022710345407e-15	3	25634631	25635070	21	ensorlt00000029450		protein_coding	-2795
6.2593398090102175e-15	7	15146702	15147608	5	ensorlt00000046324		protein_coding	8797
6.6412019493441264e-15	24	10512697	10513979	26	ensorlt00000042798	meis2a-202	protein_coding	0
7.613455854734908e-15	16	30116440	30117221	8	ensorlt00000043640	satb1b-201	protein_coding	3072
8.30418084054178e-15	12	2726600	2727705	6	ensorlt00000002115		protein_coding	-3897
8.542105527708363e-15	6	14656998	14657733	9	ensorlt00000043625		protein_coding	14500
9.144199350168266e-15	18	29150232	29150965	15	ensorlt00000033603		protein_coding	2588
9.944735674414238e-15	2	1450578	1451077	10	ensorlt00000047059		protein_coding	14872
1.0101205604526837e-14	15	21910105	21911012	19	ensorlt00000008925	lgi1a-201	protein_coding	-2665
1.1262465695419836e-14	10	14856396	14857163	27	ensorlt00000005206		protein_coding	2393
1.1678649321129645e-14	9	2992246	2992858	8	ensorlt00000001047		protein_coding	-6264
1.1860375885351788e-14	4	6985910	6986495	17	ensorlt00000005147	sec22bb-203	protein_coding	-18142
1.226389742842845e-14	3	38182297	38182967	18	ensorlt00000025190	pop4-201	protein_coding	2751
1.3402549122977024e-14	18	12886455	12887043	22	ensorlt00000006945	gpha2-201	protein_coding	1062
1.4195608296331097e-14	3	17622436	17623450	7	ensorlt00000007084	cdh15-201	protein_coding	5783
1.4490005631481516e-14	19	1942155	1942747	17	ensorlt00000036726		protein_coding	3059
1.4789884897772337e-14	3	4724831	4725418	10	ensorlt00000033112	zgc:153993-201	protein_coding	-11414
1.4902297657929074e-14	10	30520209	30520722	5	ensorlt00000014540	tmed9-201	protein_coding	35482
1.4978292460141062e-14	13	32881189	32881756	9	ensorlt00000019833	gap43-201	protein_coding	21600
1.5093870065041947e-14	10	28108186	28108908	11	ensorlt00000013913	cpxm1b-201	protein_coding	-9490
1.5394759541930295e-14	22	20931689	20932202	5	ensorlt00000041426		protein_coding	-24171
1.598761685499461e-14	13	8757213	8757828	7	ensorlt00000004919	b3glcta-201	protein_coding	15233
1.6172733701763725e-14	5	11406662	11407352	18	ensorlt00000042754	ipo9-202	protein_coding	879
1.82949393720364e-14	13	19621325	19621721	7	ensorlt00000012081	inpp5ka-201	protein_coding	-4859
2.0344276985850743e-14	2	18267154	18267964	10	ensorlt00000025790	en1b-201	protein_coding	5443
